id_peaje,nombre,ruta,latitude,longitude,region,tipo,concesionaria
MOP_1,Rinconada,,-33.50557135199995,-70.79897776799999,,Lateral,
MOP_2,San Luis,,-33.20896829099996,-70.66805410699999,,Lateral,
MOP_3,Vespucio,,-33.48776971799998,-70.74622613199995,,Lateral,
MOP_4,Chicureo,,-33.28297752299994,-70.70265726999997,,Lateral,
MOP_5,Vespucio,,-33.48822426199996,-70.74569589999999,,Lateral,
MOP_6,Malloco,,-33.60692198199996,-70.85061951699998,,Lateral,
MOP_7,Las Canteras,,-33.31077739999995,-70.70243055299994,,Troncal,
MOP_8,Malloco,,-33.60709070299998,-70.85021850399994,,Lateral,
MOP_9,Lo Prado,,-33.456859178999935,-70.89859349899996,,Troncal,
MOP_10,Rinconada,,-33.50555937199994,-70.79944119599998,,Lateral,
MOP_11,Chacabuco,,-33.00081474799998,-70.68727577099997,,Troncal,
MOP_12,San José,,-33.270102889999976,-70.73547411399994,,Troncal,
MOP_13,Río Maipo,,-33.66332262499998,-70.66909228699996,,Troncal,
MOP_14,Lampa,,-33.23564047499997,-70.75893798199996,,Troncal,
MOP_15,Champa Poniente,,-33.85224717999995,-70.74874806999998,,Lateral,
MOP_16,Paine oriente,,-33.82210220099995,-70.75142763999997,,Lateral,
MOP_17,Paine Poniente,,-33.81843937199994,-70.75123128799999,,Lateral,
MOP_18,Talagante,,-33.67328218299997,-70.92284508699998,,Lateral,
MOP_19,Talagante,,-33.67359155199995,-70.92260733899997,,Lateral,
MOP_20,El Monte,,-33.69828600899996,-70.96777691399996,,Lateral,
MOP_21,El Monte,,-33.69856058599993,-70.96754226399997,,Lateral,
MOP_22,El Paico,,-33.69159979099993,-71.04985360799998,,Lateral,
MOP_23,El Paico,,-33.69196383399998,-71.05007468799994,,Lateral,
MOP_24,Pomaire,,-33.66947638499994,-71.15462935999994,,Lateral,
MOP_25,Puangue,,-33.65264204299996,-71.35030733799994,,Lateral,
MOP_26,Puangue,,-33.65294692599997,-71.35045288099997,,Lateral,
MOP_27,Melipilla 2,,-33.67341304599995,-71.20020530199997,,Troncal,
MOP_28,Variante Melipilla,,-33.673409377999974,-71.16759890099996,,Troncal,
MOP_29,Melipilla 1,,-33.675978907999934,-71.19771378699994,,Troncal,
MOP_30,Pomaire,,-33.669884457999956,-71.15460901599994,,Lateral,
MOP_31,Guanaqueros,,-30.197318897999935,-71.38785764999994,,Lateral,
MOP_32,Tongoy Acceso Sur,,-30.351589280999974,-71.43248716799997,,Lateral,
MOP_33,Cerrillos Bajos,,-30.408125550999955,-71.44568950099995,,Troncal,
MOP_34,Ovalle,,-30.707433240999933,-71.48916513099994,,Lateral,
MOP_35,Angostura de Gálvez,,-31.42016188499997,-71.57097172599998,,Troncal,
MOP_36,Combarbalá,,-31.446025077999934,-71.56143423099996,,Lateral,
MOP_37,Pichidangui,,-32.17494071799996,-71.52077220899997,,Troncal,
MOP_38,Loncoche-Lastarria,,-39.35889893899997,-72.63979616699999,,Lateral,
MOP_39,Loncoche-Afquintúe,,-39.35939737599995,-72.62098050999998,,Lateral,
MOP_40,Pitrufquén,,-38.991323989999955,-72.64707081799997,,Lateral,
MOP_41,Temuco Norte,,-38.66446618799995,-72.48884241499997,,Lateral,
MOP_42,Quepe,,-38.91580964399998,-72.62434032199997,,Troncal,
MOP_43,Lautaro Sur,,-38.54704480899994,-72.45774324899998,,Lateral,
MOP_44,Púa,,-38.36266242399995,-72.38591890899994,,Troncal,
MOP_45,Lautaro Centro,,-38.52241241699994,-72.45633393199995,,Lateral,
MOP_46,Quino,,-38.25516496599994,-72.35958435399994,,Lateral,
MOP_47,Victoria Norte,,-38.237831925999956,-72.35590715199999,,Lateral,
MOP_48,Mininco,,-37.853516800999955,-72.39678013099996,,Lateral,
MOP_49,By Pass Pto. Montt,,-41.438494290999984,-72.95676999999995,,Troncal,
MOP_50,Acceso Puerto Montt,,-41.43910952999994,-72.95635374099999,,Lateral,
MOP_51,Acceso a Puerto Varas Sur,,-41.333486034999964,-72.98796843599996,,Lateral,
MOP_52,Acceso a Puerto Varas Norte-Nueva Brunau Oriente,,-41.319783969999946,-73.00793327999997,,Lateral,
MOP_53,Acceso a Puerto Varas Norte-Nueva Brunau Poniente,,-41.316273139999964,-73.01103086099994,,Lateral,
MOP_54,Acceso a Llanquihue Sur-Molino Viejo Oriente,,-41.27673936299993,-73.00762554699998,,Lateral,
MOP_55,Acceso a Llanquihue Sur-Molino Viejo Poniente,,-41.27215478699998,-73.00771415199995,,Lateral,
MOP_56,Acceso a Llanquihue Centro Oriente,,-41.25629664999997,-73.02071573299997,,Lateral,
MOP_57,Acceso a Fresia Oriente,,-41.219385830999954,-73.05282162999998,,Lateral,
MOP_58,Acceso a Fresia Poniente,,-41.21464090999996,-73.05619447199996,,Lateral,
MOP_59,Acceso a Frutillar,,-41.12012002399996,-73.06270660299998,,Lateral,
MOP_60,Acceso a Casma,,-41.00915184499996,-73.12027724099994,,Lateral,
MOP_61,Acceso a Purranque,,-40.901420188999964,-73.15219172899998,,Lateral,
MOP_62,Cuatro Vientos,,-40.959109327999954,-73.13402283599999,,Troncal,
MOP_63,Acceso a Puerto Octay-Osorno Sur Oriente,,-40.59487227699998,-73.09915367099995,,Lateral,
MOP_64,Acceso Norte a Pilauco,,-40.561888297999985,-73.10040962899996,,Lateral,
