autopista,tramo,eje,sentido,portico_id,referencia_tramo,longitud_km,categoria_vehiculo,tipo_tarifa,precio_clp
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA2,Los Guindos - La Capilla,7.68,categoria_1y4,TBFP,839.5
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA2,Los Guindos - La Capilla,7.68,categoria_2,TBFP,1679.0
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA2,Los Guindos - La Capilla,7.68,categoria_2,TBP,3393.84
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA2,Los Guindos - La Capilla,7.68,categoria_2,TS,5090.76
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA2,Los Guindos - La Capilla,7.68,categoria_3,TBFP,2518.5
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA3,La Capilla - Colón,5.63,categoria_1y4,TBFP,565.64
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA3,La Capilla - Colón,5.63,categoria_1y4,TBP,1131.28
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA3,La Capilla - Colón,5.63,categoria_1y4,TS,1696.92
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA3,La Capilla - Colón,5.63,categoria_2,TBFP,1131.28
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA3,La Capilla - Colón,5.63,categoria_2,TBP,2262.56
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA3,La Capilla - Colón,5.63,categoria_2,TS,3393.84
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA3,La Capilla - Colón,5.63,categoria_3,TBFP,1696.92
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA3,La Capilla - Colón,5.63,categoria_3,TBP,3393.84
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA3,La Capilla - Colón,5.63,categoria_3,TS,5090.76
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA5,Colón - Las Acacias,3.22,categoria_1y4,TBFP,323.51
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA5,Colón - Las Acacias,3.22,categoria_1y4,TBP,647.02
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA5,Colón - Las Acacias,3.22,categoria_1y4,TS,970.53
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA5,Colón - Las Acacias,3.22,categoria_2,TBFP,647.02
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA5,Colón - Las Acacias,3.22,categoria_2,TBP,1294.04
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA5,Colón - Las Acacias,3.22,categoria_2,TS,1941.06
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA5,Colón - Las Acacias,3.22,categoria_3,TBFP,970.53
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA5,Colón - Las Acacias,3.22,categoria_3,TBP,1941.06
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA5,Colón - Las Acacias,3.22,categoria_3,TS,2911.59
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA7,Las Acacias - A. Vespucio,4.35,categoria_1y4,TBFP,437.04
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA7,Las Acacias - A. Vespucio,4.35,categoria_1y4,TBP,874.08
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA7,Las Acacias - A. Vespucio,4.35,categoria_2,TBFP,874.08
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA7,Las Acacias - A. Vespucio,4.35,categoria_2,TBP,1748.16
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA7,Las Acacias - A. Vespucio,4.35,categoria_3,TBFP,1311.12
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA7,Las Acacias - A. Vespucio,4.35,categoria_3,TBP,2622.24
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA30,Americo Vespucio - Departamental,3.78,categoria_1y4,TBFP,379.77
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA30,Americo Vespucio - Departamental,3.78,categoria_1y4,TBP,759.54
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA30,Americo Vespucio - Departamental,3.78,categoria_2,TBFP,759.54
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA30,Americo Vespucio - Departamental,3.78,categoria_2,TBP,1519.09
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA30,Americo Vespucio - Departamental,3.78,categoria_3,TBFP,1139.31
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA30,Americo Vespucio - Departamental,3.78,categoria_3,TBP,2278.63
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA10,Departamental - Carlos Valdovinos,2.75,categoria_1y4,TBFP,276.28
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA10,Departamental - Carlos Valdovinos,2.75,categoria_1y4,TBP,552.57
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA10,Departamental - Carlos Valdovinos,2.75,categoria_2,TBFP,552.57
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA10,Departamental - Carlos Valdovinos,2.75,categoria_2,TBP,1105.15
